origen,traduccio
HIPERTENSION,HTA
HIPERTENSIO,HTA
AL·LERGIA,ALERGIA
COLESTEROL,HIPERCOLESTEROLEMIA
ANSIETAT,ANSIEDAD
HIPOTIROIDISME,HIPOTIROIDISMO
HIPERTIROIDISME,HIPERTIROIDISMO
MAL DE CAP,DOLOR DE CABEZA
DOLOR CABEZA,DOLOR DE CABEZA
DOLORES,DOLOR
DOLORS,DOLOR
INSOMNI,INSOMNIO
PER DORMIR,INSOMNIO
PARA DORMIR,INSOMNIO
DORMIR,INSOMNIO
DEPRESSIO,DEPRESION
DEPRESIO,DEPRESION
ANTIDEPRESIU,DEPRESION
ANTIDEPRESSIU,DEPRESION
ANTIDEPRESIVO,DEPRESION
ESTOMAC,ARDOR DE ESTOMAGO
ANTICONCEPTIU,ANTICONCEPTIVO
ANTICONCEPTIUS,ANTICONCEPTIVO
ANTICONCEPTIVOS,ANTICONCEPTIVO
ACID URIC,ACIDO URICO
ARTROSI,ARTROSIS
ANGOIXA,ANGUSTIA
MENOPAUSA,MENOPAUSIA
PROTECTOR DE ESTOMAGO,PROTECTOR DE ESTOMAGO
PROTECTOR D'ESTOMAC,PROTECTOR DE ESTOMAGO
PROTECTOR ESTOMAGO,PROTECTOR DE ESTOMAGO
PROTECTOR ESTOMAC,PROTECTOR DE ESTOMAGO
PROTECCIO ESTOMAC,PROTECTOR DE ESTOMAGO
PROTECTOR GASTRIC,PROTECTOR DE ESTOMAGO
RESTRENYIMENT,RESTRENIMIENTO
CIRCULACIO,CIRCULACION
VARIUS,VARICES
ESTAT D'ANIM,ESTADO DE ANIMO
ARRITMIES,ARRITMIA
COR,CORAZON
HERNIA DE IATO,HERNIA DE HIATO
HERNIA D'HIATUS,HERNIA DE HIATO
PNEUMONIA,NEUMONIA
OSTEOPOROSI,OSTEOPOROSIS
REFREDAT,RESFRIADO
CAIGUDA CABELL,CALVICIE
MIGRANYA,MIGRANA
OSSOS,DOLOR DE HUESOS
PREVENCIO,PREVENCION
REFLUXE,REFLUJO
REFLUXE GASTRIC,REFLUJO
ANSIOLITIC,ANSIOLITICO
CALCULS RENALS,CALCULOS RENALES
EMBARAS,EMBARAZO
NERVIS,NERVIOS
PRESSIO OCULAR,PRESION OCULAR
SUCRE,AZUCAR
VERTIGEN,VERTIGO
ACIDESA,ACIDEZ
CALCI,CALCIO
DEPRESIO LLEU, DEPRESION LEVE
ESPALDA,DOLOR ESPALDA
ESTRENYIMENT,ESTRENIMIENTO
FERRO,FALTA DE HIERRO
IMSOMNI,INSOMNIO
MENSTRUACIO,DOLOR MENSTRUAL
PARA EL DOLOR,DOLOR
PROTECTOR GASTRICO,PROTECTOR DE ESTOMAGO
TENSIO,HTA
TENSION ALTA,HTA
TENSION ARTERIAL,HTA
TRANSTORN BIPOLAR,TRANSTORNO BIPOLAR
ARDOR DE ESTOMAGO,ARDOR DE ESTOMAGO
ARDORES,ARDOR DE ESTOMAGO
FALTA DE VITAMINA D,VITAMINA D
BAIXA VITAMINA D,VITAMINA D
CONTRACTURES,CONTRACTURA
DEFICIT VITAMINA D,VITAMINA D
DEPRESION - ANSIEDAD,DEPRESION
DIGESTIO,DIGESTION
DOLORES MUSCULARES,DOLORES MUSCULARES
DOLOR ESQUENA,DOLOR DE ESPALDA
DOLOR HUESOS,DOLOR DE HUESOS
ENCOSTIPAT,RESFRIADO
ESTOMAG,ARDOR DE ESTOMAGO
FALTA DE FERRO,FALTA DE HIERRO
GENOLL,DOLOR DE RODILLA
RETENCIO LIQUIDS,RETENCION DE LIQUIDOS
REGLA,DOLOR MENSTRUAL
TRIGLICERIDS,TRIGLIDCERIDOS
TUBERCULOSI,TUBERCULOSIS
ARRITMIAS,ARRITMIA
ATROSIS,ARTROSIS
BIPOLAR,TRANSTORNO BIPOLAR
BIPOLARIDAD,TRANSTORNO BIPOLAR
CAMES INQUIETES,PIERNAS INQUIETAS
CASAMENT,CANSANCIO
COLIC NEFRITIC,COLICO NEFRITICO
CREMOR ESTOMAC,ARDOR DE ESTOMAGO
FALTA FERRO,FALTA DE HIERRO
FALTA VITAMINA D,VITAMINA D
