"name","valueType","entityType","mimeType","unit","occurrenceGroup","repeatable","categories:en","categories:fr","categories:ca","categories:es","identifier","pii","script","group","label:en","label:fr","label:ca","label:es"
"Admin.onyxVersion","text","Participant","","","","false","","","","",,,,,,,,
"Admin.Participant.captureStartDate","datetime","Participant","","","","false","","","","",,,,,,,,
"Admin.Participant.captureEndDate","datetime","Participant","","","","false","","","","",,,,,,,,
"Admin.Participant.barcode","text","Participant","","","","false","","","","","true",,,,,,,
"Admin.Participant.enrollmentId","text","Participant","","","","false","","","","",,,,,,,,
"Admin.Participant.appointmentDate","datetime","Participant","","","","false","","","","",,,,,,,,
"Admin.Participant.gender","text","Participant","","","","false","FEMALE;MALE","FEMALE;MALE","FEMALE;MALE","FEMALE;MALE",,,,,,,,
"Admin.Participant.firstName","text","Participant","","","","false","","","","",,"true",,,,,,
"Admin.Participant.lastName","text","Participant","","","","false","","","","",,"true",,,,,,
"Admin.Participant.fullName","text","Participant","","","","false","","","","",,"true",,,,,,
"Admin.Participant.birthDate","datetime","Participant","","","","false","","","","",,"true",,,,,,
"Admin.Participant.siteNo","text","Participant","","","","false","","","","",,,,,,,,
"Admin.Participant.recruitmentType","text","Participant","","","","false","ENROLLED;VOLUNTEER","ENROLLED;VOLUNTEER","ENROLLED;VOLUNTEER","ENROLLED;VOLUNTEER",,,,,,,,
"Admin.Participant.birthYear","integer","Participant","","","","false","","","","",,,"$('Admin.Participant.birthDate').year()",,,,,
"Admin.Participant.age","integer","Participant","","","","false","","","","",,,"now().year() - $('Admin.Participant.birthDate').year() - (now().dayOfYear() < $('Admin.Participant.birthDate').dayOfYear() ? 1 : 0)",,,,,
"Admin.Participant.Postal Code","text","Participant","","","","false","","","","",,"true",,"DEFAULT_GROUP",,,,
"Admin.Participant.Tipus Mostra","text","Participant","","","","false","","","","",,"true",,"DEFAULT_GROUP",,,,
"Admin.Interview.startDate","datetime","Participant","","","","false","","","","",,,,,,,,
"Admin.Interview.endDate","datetime","Participant","","","","false","","","","",,,,,,,,
"Admin.Interview.status","text","Participant","","","","false","IN_PROGRESS;CLOSED;CANCELLED;COMPLETED","IN_PROGRESS;CLOSED;CANCELLED;COMPLETED","IN_PROGRESS;CLOSED;CANCELLED;COMPLETED","IN_PROGRESS;CLOSED;CANCELLED;COMPLETED",,,,,,,,
"Admin.Interview.duration","integer","Participant","","","","false","","","","",,,,,,,,
"Admin.Interview.exportLog.type","text","Participant","","","exportLog","true","","","","",,,,,,,,
"Admin.Interview.exportLog.destination","text","Participant","","","exportLog","true","","","","",,,,,,,,
"Admin.Interview.exportLog.captureStartDate","datetime","Participant","","","exportLog","true","","","","",,,,,,,,
"Admin.Interview.exportLog.captureEndDate","datetime","Participant","","","exportLog","true","","","","",,,,,,,,
"Admin.Interview.exportLog.exportDate","datetime","Participant","","","exportLog","true","","","","",,,,,,,,
"Admin.ApplicationConfiguration.siteCode","text","Participant","","","","false","","","","",,,,,,,,
"Admin.ApplicationConfiguration.siteName","text","Participant","","","","false","","","","",,,,,,,,
"Admin.ApplicationConfiguration.studyName","text","Participant","","","","false","","","","",,,,,,,,
"Admin.Action.user","text","Participant","","","Action","true","","","","",,,,,,,,
"Admin.Action.stage","text","Participant","","","Action","true","","","","",,,,,,,,
"Admin.Action.fromState","text","Participant","","","Action","true","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable",,,,,,,,
"Admin.Action.toState","text","Participant","","","Action","true","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable","Waiting;Ready;Skipped;Contraindicated;InProgress;Interrupted;Completed;NotApplicable",,,,,,,,
"Admin.Action.actionType","text","Participant","","","Action","true","COMMENT;COMPLETE;EXECUTE;INTERRUPT;START;STOP;SKIP","COMMENT;COMPLETE;EXECUTE;INTERRUPT;START;STOP;SKIP","COMMENT;COMPLETE;EXECUTE;INTERRUPT;START;STOP;SKIP","COMMENT;COMPLETE;EXECUTE;INTERRUPT;START;STOP;SKIP",,,,,,,,
"Admin.Action.dateTime","datetime","Participant","","","Action","true","","","","",,,,,,,,
"Admin.Action.comment","text","Participant","","","Action","true","","","","",,,,,,,,
"Admin.Action.eventReason","text","Participant","","","Action","true","","","","",,,,,,,,
