"name","valueType","entityType","mimeType","unit","occurrenceGroup","repeatable","categories:es","categories:ca","opal::derivedFrom","maelstrom::administrative_information:en","questionName","maelstrom::data_source:en","script","maelstrom::uuid","stage","questionnaire","label:es","description:es","labelNext:es","labelPrevious:es","labelStart:es","labelFinish:es","labelInterrupt:es","labelResume:es","labelCancel:es","conclusion:es","label:ca","description:ca","labelNext:ca","labelPrevious:ca","labelStart:ca","labelFinish:ca","labelInterrupt:ca","labelResume:ca","labelCancel:ca","conclusion:ca","section","page","required","maxCount"
"SEXO","text","Participant","","","","false","1=Hombre;2=Mujer;0=No sabe/No contesta","1=Home;2=Dona;0=No ho sap/No contesta","/datasource/GCAT/table/MICA/variable/SEXO","Questionnaire/Interview related information","A1","Questionnaire","$('SEXO').map({'HOMBRE': 1, 'MUJER': 2, 'NS_NC': 0}, null, null)","a3212cf7-7187-45e7-a2bf-9170c185d3f9",,,,,,,,,,,,,,,,,,,,,,,,,,
"FECHA_NACIMIENTO_DIA","integer","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/FECHA_NACIMIENTO","Questionnaire/Interview related information","A2","Questionnaire","$('FECHA_NACIMIENTO.Fecha.Dia')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"FECHA_NACIMIENTO_MES","text","Participant","","","","false","1=Enero;2=Febrero;3=Marzo;4=Abril;5=Mayo;6=Junio;7=Julio;8=Agosto;9=Septiembre;10=Octubre;11=Noviembre;12=Diciembre;0=No sabe/No contesta","1=Gener;2=Febrer;3=Març;4=Abril;5=Maig;6=Juny;7=Juliol;8=Agost;9=Setembre;10=Octubre;11=Novembre;12=Desembre;0=No ho sap/No contesta","/datasource/GCAT/table/MICA/variable/FECHA_NACIMIENTO","Questionnaire/Interview related information","A2","Questionnaire","$('FECHA_NACIMIENTO.Fecha.Mes').map({'Enero':  1, 'Febrero':  2, 'Marzo':  3, 'Abril':  4, 'Mayo':  5, 'Junio':  6, 'Julio':  7, 'Agosto':  8, 'Septiembre':  9, 'Octubre': 10, 'Noviembre': 11, 'Diciembre': 12, 'NS_NC':  0}, null, null)","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"FECHA_NACIMIENTO_ANO","integer","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/FECHA_NACIMIENTO","Questionnaire/Interview related information","A2","Questionnaire","$('FECHA_NACIMIENTO.Fecha.Ano')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"EDAD_ANOS","integer","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/EDAD","Questionnaire/Interview related information","A3","Questionnaire","$('EDAD.EDAD.ANOS')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"PAIS_NACIMIENTO","text","Participant","","","","false","1=España;2;0=No sabe/No contesta","1=Espanya;2;0=No ho sap/No contesta","/datasource/GCAT/table/MICA/variable/LUGAR_NACIMIENTO","Questionnaire/Interview related information","A4","Questionnaire","$('LUGAR_NACIMIENTO').map({'ESPANA': 1, 'OTRO': 2, 'NS_NC': 0}, null, null)","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"PAIS_NACIMIENTO_OTRO","text","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/LUGAR_NACIMIENTO","Questionnaire/Interview related information","A4","Questionnaire","$('LUGAR_NACIMIENTO.OTRO.PAIS')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"MUNICIPIO_NACIMIENTO","text","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/MUNICIPIO_NACIMIENTO","Questionnaire/Interview related information","A5","Questionnaire","$('MUNICIPIO_NACIMIENTO').map({
  'MUNICIPIO_NACIMIENTO': $('MUNICIPIO.MUNICIPIO.municipio').whenNull('').replace(/\d\d-\d\d\d-\d;/,'')
  }, null).upperCase()","dd86b2b5-56e6-42ca-88f3-92bafb550e60",,,,,,,,,,,,,,,,,,,,,,,,,,
"MUNICIPIO_NACIMIENTO_OTRO","text","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/MUNICIPIO_NACIMIENTO","Questionnaire/Interview related information","A5","Questionnaire","$('MUNICIPIO_NACIMIENTO.OTRO.PAIS')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"MUNICIPIO_RESIDENCIA","text","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/RESIDENCIA","Questionnaire/Interview related information","A6","Questionnaire","$('RESIDENCIA.MUNICIPIO.MUNICIPIO_RESIDENCIA')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"MUNICIPIO_RESIDENCIA_OTRO","text","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/RESIDENCIA","Questionnaire/Interview related information","A6","Questionnaire","$('RESIDENCIA.OTRO.PAIS')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"MUNICIPIO_RESIDENCIA_TIEMPO","integer","Participant","","","","false","","","/datasource/GCAT/table/MICA/variable/TIEMPO_RESIDENCIA","Questionnaire/Interview related information","A7","Questionnaire","$('TIEMPO_RESIDENCIA.TIEMPO_RESIDENCIA.TIEMPO_RESIDENCIA')","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"ETNIA_PARTICIPANTE","text","Participant","","","","false","1=Blanca/caucásica;2=Negra;3=Asiática;4=Gitana;5=Magrebí;6=Hispana o latina;7=Otra;0=No sabe/No contesta","1=Blanca/caucàsica;2=Negra;3=Asiàtica;4=Gitana;5=Magribina;6=Hispana o latina;7=Altres;0=No ho sap/No contesta","/datasource/GCAT/table/MICA/variable/RAZA_PARTICIPANTE","Questionnaire/Interview related information","A8","Questionnaire","$('RAZA_PARTICIPANTE.RAZA.RAZA_PADRE').map({'Blanca': 1, 'Negra': 2, 'Asiatica': 3, 'Gitana': 4, 'Magrebi': 5, 'Hispana': 6, 'Otra': 7, 'NS_NC': 0}, null, null)","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"ETNIA_PADRE","text","Participant","","","","false","1=Blanca/caucásica;2=Negra;3=Asiática;4=Gitana;5=Magrebí;6=Hispana o latina;7=Otra;0=No sabe/No contesta","1=Blanca/caucàsica;2=Negra;3=Asiàtica;4=Gitana;5=Magribina;6=Hispana o latina;7=Altres;0=No ho sap/No contesta","/datasource/GCAT/table/MICA/variable/RAZA_PADRE","Questionnaire/Interview related information","A8","Questionnaire","$('RAZA_PADRE.RAZA.RAZA_PADRE').map({'Blanca': 1, 'Negra': 2, 'Asiatica': 3, 'Gitana': 4, 'Magrebi': 5, 'Hispana': 6, 'Otra': 7, 'NS_NC': 0}, null, null)","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
"ETNIA_MADRE","text","Participant","","","","false","1=Blanca/caucásica;2=Negra;3=Asiática;4=Gitana;5=Magrebí;6=Hispana o latina;7=Otra;0=No sabe/No contesta","1=Blanca/caucàsica;2=Negra;3=Asiàtica;4=Gitana;5=Magribina;6=Hispana o latina;7=Altres;0=No ho sap/No contesta","/datasource/GCAT/table/MICA/variable/RAZA_MADRE","Questionnaire/Interview related information","A8","Questionnaire","$('RAZA_MADRE.RAZA.RAZA_PADRE').map({'Blanca': 1, 'Negra': 2, 'Asiatica': 3, 'Gitana': 4, 'Magrebi': 5, 'Hispana': 6, 'Otra': 7, 'NS_NC': 0}, null, null)","character(0)",,,,,,,,,,,,,,,,,,,,,,,,,,
