Text,Freq,Codi,Descr_codi,Codi_3,Descr_codi_3,Gran_grup_classif,Descr_gran_grup_clasif
HIPERCOLESTEROLEMIA,2736,2720,Hipercolesterolèmia pura,272,Trastorns del metabolisme dels lípids,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ALERGIA,2667,9953,Al·lèrgia no especificada,995,Determinades reaccions adverses no classificades a cap altre lloc,17,Lesions i intoxicacions
HTA,2392,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
MIGRANA,1396,346,Migranya,346,Migranya,06,Malalties del sistema nerviós i els òrgans dels sentits
RINITIS,1227,4720,Rinitis crònica,472,Faringitis i rinofaringitis cròniques,08,Malalties de l’aparell respiratori
DEPRESION,919,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
ASMA,840,493,Asma,493,Asma,08,Malalties de l’aparell respiratori
ECZEMA,758,692,Dermatitis de contacte i altres èczemes,692,Dermatitis de contacte i altres èczemes,12,Malalties de la pell i el teixit subcutani
HELICOBACTER,717,04186,Infecció per Helicobacter pylori [H. pylori] en afeccions classificades en un altre lloc i de localització no especificada,041,Infeccions bacterianes en afeccions classificades en un altre lloc i de localització no especificada,01,Malalties infeccioses i parasitàries
POLIPOS,620,5690,Pòlip anal i rectal,569,Altres trastorns d'intestí,09,Malalties de l’aparell digestiu
PSORIASIS,595,696,Psoriasi i trastorns semblants,696,Psoriasi i trastorns semblants,12,Malalties de la pell i el teixit subcutani
DIABETES,549,250,Diabetis mellitus,250,Diabetis mellitus,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
OSTEOPOROSIS,511,7330,Osteoporosi,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ARTRITIS,480,714,Artritis reumatoide i altres poliartropaties inflamatòries,714,Artritis reumatoide i altres poliartropaties inflamatòries,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CANCER,357,1991,Altres neoplàsies malignes de localització no especificada,199,Neoplàsia maligna de localització no especificada,02,Neoplàsies
COLESTEROL,239,2720,Hipercolesterolèmia pura,272,Trastorns del metabolisme dels lípids,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
HIPOTIROIDISME,215,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TIROIDES,204,2469,Trastorn no especificat de la tiroide,246,Altres trastorns de la tiroide,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
DOLOR,169,338,Dolor no classificat a cap altre lloc,338,Dolor no classificat a cap altre lloc,06,Malalties del sistema nerviós i els òrgans dels sentits
ANSIETAT,166,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
HIPOTIROIDISMO,162,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ANSIEDAD,157,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
GENETICA_HEREDITARIA,144,V83,Portador de malaltia hereditària,V83,Portador de malaltia hereditària,NA,NA
DORMIR,142,78050,Trastorn del son no especificat,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
ARTROSIS,141,715,Artrosi i trastorns relacionats,715,Artrosi i trastorns relacionats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
FIBROMIALGIA,126,7291,Miàlgia i miositis no especificades,729,Altres trastorns dels teixits tous,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DEPRESSIO,87,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
ANEMIA,84,2859,Anèmia no especificada,285,Altres anèmies i anèmies no especificades,04,Malalties de la sang i els òrgans hematopoètics
MAL DE CAP,82,339,Altres síndromes amb cefalàlgia,339,Altres síndromes amb cefalàlgia,06,Malalties del sistema nerviós i els òrgans dels sentits
PROSTATA,81,6029,Trastorn no especificat de la pròstata,602,Altres trastorns de la pròstata,10,Malalties de l’aparell genitourinari
HERNIA DE HIATO,80,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
GLAUCOMA,76,3659,Glaucoma no especificat,365,Glaucoma,06,Malalties del sistema nerviós i els òrgans dels sentits
EPOC,74,496,Obstrucció crònica de les vies respiratòries no classificada a cap altre lloc,496,Obstrucció crònica de les vies respiratòries no classificada a cap altre lloc,08,Malalties de l’aparell respiratori
HERNIA DISCAL,65,7229,Altres trastorns discals i trastorns discals no especificats,722,Trastorns del disc intervertebral,13,Malalties del sistema musculoesquelètic i el teixit connectiu
INSOMNI,61,78050,Trastorn del son no especificat,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
DOLOR DE CABEZA,57,339,Altres síndromes amb cefalàlgia,339,Altres síndromes amb cefalàlgia,06,Malalties del sistema nerviós i els òrgans dels sentits
DEPRESIO,52,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
ACIDO URICO,45,2749,Gota no especificada,274,Gota,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ICTUS,44,4149,Cardiopatia isquèmica crònica no especificada,414,Altres formes de cardiopatia isquèmica crònica,07,Malalties de l’aparell circulatori
COLITIS,44,558,"Altres gastroenteritis i colitis no infeccioses, i gastroenteritis i colitis no infeccioses no especificades",558,"Altres gastroenteritis i colitis no infeccioses, i gastroenteritis i colitis no infeccioses no especificades",09,Malalties de l’aparell digestiu
ESTOMAGO,42,5369,Trastorn funcional no especificat de l'estómac,536,Trastorns de la funció de l'estómac,09,Malalties de l’aparell digestiu
MENOPAUSIA,37,627,Trastorns menopàusics i postmenopàusics,627,Trastorns menopàusics i postmenopàusics,10,Malalties de l’aparell genitourinari
TENSION,36,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
ACID URIC,35,274,Gota,274,Gota,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
INSOMNIO,35,78050,Trastorn del son no especificat,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
ANTICONCEPTIU,33,NA,NA,NA,NA,NA,NA
INFARTO,33,41090,"Infart de miocardi agut de localització no especificada, episodi no especificat",410,Infart de miocardi agut,07,Malalties de l’aparell circulatori
PER DORMIR,33,78050,Trastorn del son no especificat,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
ANGINA,32,41090,"Infart de miocardi agut de localització no especificada, episodi no especificat",410,Infart de miocardi agut,07,Malalties de l’aparell circulatori
ESTOMAC,31,NA,NA,NA,NA,NA,NA
HERNIA HIATO,30,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
PARA DORMIR,28,78050,Trastorn del son no especificat,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
ANGOIXA,26,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
