CODI_ATC;NOMBRE
B01AC;AAS 100
N02BA;AAS 500
N02BA;AB FE CAMPS
J01EE;ABACTRIM
J01RA;ABACTRIM BALSAMICO
B01AD;ABBOKINASE
B05XA;ABBOPLEGISOL
D11AC;ABBOTTSELSUN
A03DB;ABDOMINOL
V08CB;ABDOSCAN
J02AA;ABELCET
A13AA;ABESIRA
N05AX;ABILIFY
V08CA;ABLAVAR
D07CC;ABRASONE
C05AA;ABRASONE RECTAL
L01CD;ABRAXANE
M05BA;ABRION
C10AX;ABSORCOL
G03CA;ABSORLENT MATRIX
G03FB;ABSORLENT PLUS
N02AB;ABSTRAL
A11GB;AC CRISINA
M01AC;ACABEL
M01AC;ACABEL RAPID
G04BC;ACALKA
J02AC;ACANDIX
A10BF;ACARBOSA
A01AA;ACCIONAL
R03DC;ACCOLATE
B05ZB;ACCUSOL
N02BE;ACECAT
M01AB;ACECLOFENACO
C09BA;ACEDIUR
V06AA;ACEITE ACALORICO ORDESA
V07AB;ACEITE DE AJO ORDESA
A06AB;ACEITE DE RICINO
A11CB;ACEITE GEVE
A11JC;ACEITE HIGADO BACALAO
M01AX;ACENAM
S02AA;ACEOTO GOTAS OTICAS
S02CA;ACEOTO PLUS GOTAS OTICAS
D02AF;ACERBIOL
N02BE;ACERTOL
G03HB;ACETATO CIPROTERONA ETINILESTRADIOL
D08AC;ACETATO CLORHEXIDINA
V03AE;ACETATO DE CALCIO
B05XA;ACETATO POTASICO
B05XA;ACETATO SODICO
C09AA;ACETENSIL
C09BA;ACETENSIL PLUS
R05CB;ACETILCISTEINA
S01EB;ACETILCOLINA
R06AA;ACETUBER
B03BB;ACFOL
J05AB;ACICLOSTAD
D06BB;ACICLOSTAD TOPICO
J05AB;ACICLOVIR
S01AD;ACICLOVIR OFTALMICO
D06BB;ACICLOVIR TOPICO
A02AF;ACIDAC
A02AF;ACIDION
B01AC;ACIDO ACETILSALICILICO 100 MG
N02BA;ACIDO ACETILSALICILICO 500 MG
M05BA;ACIDO ALENDRONICO
A11GA;ACIDO ASCORBICO
B03BB;ACIDO FOLICO
M05BA;ACIDO IBANDRONICO
V03AF;ACIDO LEVOFOLINICO
J01MB;ACIDO NALIDIXICO
N03AG;ACIDO VALPROICO
M05BA;ACIDO ZOLEDRONICO
A09AC;ACIDONA
A02AF;ACIDRINA
M04AA;ACIFUGAN
A02BC;ACIPHEX
D05BB;ACITRETINA IFC
M05BA;ACLASTA
M01AB;ACLOCEN
D10BA;ACNEMIN
D10AB;ACNISDIN
D10AD;ACNISDIN RETINOICO
D10AX;ACNOSAN
N03AX;ACOMICIL
A08AX;ACOMPLIA
C09AA;ACOVIL
M01AH;ACOXXEL
M05BA;ACREL
M05BA;ACREL SEMANAL
J07AG;ACT HIB
H01AA;ACTH LEO
A13AA;ACTICINCO
A11CC;ACTIFRAL D3
A15AA;ACTILEVOL OREX
B01AD;ACTILYSE
A12CC;ACTIMAG
M01AE;ACTIMIDOL
J01CA;ACTIMOXI
N02AB;ACTIQ
J01MA;ACTIRA
A01AB;ACTISITE
R05CB;ACTITHIOL
R05CB;ACTITHIOL ANTIHISTAMINICO
C05CX;ACTIVADONE
S01XA;ACTIVADONE OFTALMICO
G03FA;ACTIVELLE
H02AB;ACTOCORTINA
M01AX;ACTOL NIFLUMICO
M05BA;ACTONEL
M05BA;ACTONEL SEMANAL
A10BG;ACTOS
A10AB;ACTRAPID
A10AB;ACTRAPID INNOLET
A10AB;ACTRAPID NOVOLET
A10AB;ACTRAPID PENFILL
N02BE;ACTRON
N02BA;ACTRON COMPUESTO
G04CX;ACUBIRON
S01BC;ACULAR
S01XA;ACUOLENS
C09AA;ACUPREL
C09BA;ACURETIC
D08AG;ACYDONA
N02BA;ACYFLOX
A02AD;ACYLINE
R01AA;ADA
C10AX;ADACAI
C08CA;ADALAT
C08CA;ADALAT BIFASICO
C08CA;ADALAT OROS
C08CA;ADALAT RETARD
M03BX;ADALGUR
N04BC;ADARTREL
G04BE;ADCIRCA
B05XA;ADDAMEL
M05BA;ADELAN SEMANAL
C02LA;ADELFAN ESIDREX
C01EB;ADENOCOR
C01EB;ADENOSCAN
M04AA;ADENURIC
C05AD;ADEOL HEMORROIDAL
C09DA;ADIAVAL PLUS
A11JC;ADIOD
B01AC;ADIRO
C08CA;ADMON
N06AB;ADOFEN
N06AB;ADOFEN SEMANAL
N02AX;ADOLONTA
N02AX;ADOLONTA RETARD
M01AE;ADOLQUIR
C01CA;ADREJECT
C01CA;ADRENALINA
S01EA;ADRENOR
M05BB;ADROVANCE
A06AG;ADULAX CASEN FLEET
N05BA;ADUMBRAN
L04AD;ADVAGRAF
B02BD;ADVATE
D07AC;ADVENTAN
M01AE;ADVIL
R06AX;AERIUS
A03FA;AERO PLUS
A03AX;AERO RED
A02AF;AERO RED ANTIACIDO
A16AX;AERO RED COMPLEX
D04AB;AERODERM
G03CA;AERODIOL
A03FA;AEROFLAT
R03DC;AERONIX
R03AK;AEROSOMA
D04AA;AEROSPRAY ANTIALERGICO
D04AX;AEROSPRAY ANTIQUEMADURAS
D08AG;AEROSPRAY ANTISEPTICO
N01AB;AERRANE
B01AB;AFATINAL
N02BB;AFEBRIN
L01XE;AFINITOR
N02BG;AFIPADO
S01AD;AFLOMIN
N06AX;AFLOYAN
L04AA;AFLUDOL
S01GX;AFLUON
R01AC;AFLUON NASAL
D01AC;AFONGAN
A01AC;AFTAJUVENTUS
A01AC;AFTASONE B C
A01AC;AFTASONE INF
D04AX;AFTER BITE
D09AA;AFTER BITE TOALLITAS
A06AB;AGAROL ALOINA
A06AX;AGAROL PARAFINA
A02BA;AGASTRINA
J05AE;AGENERASE
B01AC;AGEROPLAS
J01CA;AGERPEN
R05CZ;AGERPEN MUCOLITICO
M04AA;AGILEX
M02AA;AGILONA
A06AC;AGIOLAX
B01AC;AGRASTAT
G03XX;AGREAL
B01AC;AGRELAN
V07AB;AGUA BIDESTILADA
V03AX;AGUA DEL CARMEN
V07AB;AGUA ESTERIL PARA INYECTABLE
D08AX;AGUA OXIGENADA
V07AB;AGUA PARA INYECCION
N06BX;AGUDIL
D08AX;AHECAN
G03AA;AILYN
V03AN;AIRE MEDICINAL COMP GAS LINDE
R03AC;AIROMIR AUTOHALER
M01AB;AIRTAL
M02AA;AIRTAL DIFUCREM
N02BE;AKINDOL
N04AA;AKINETON
N01BX;ALACAPSIN
N02BE;ALADOR
M01AB;ALAFEN
D06CA;ALANTOMICINA
D07CA;ALANTOMICINA COMPLEX
A02BC;ALAPANZOL
N05BA;ALAPRYL
R06AX;ALASTINA
N05BA;ALBEGO
S01ED;ALBETAL
A11BA;ALBINTIL
B05AA;ALBIOMIN
B05AA;ALBUMINA HUMANA
B05AA;ALBUNORM
B05AA;ALBUREX 5
B05AA;ALBUTEIN
A02AD;ALCALINOS VITA
J06BB;ALCANGAMA ANTITETANICA
G03CA;ALCIS
G03CA;ALCIS SEMANAL
D08AJ;ALCOHCAN
D08AJ;ALCOHOCEL
D08AX;ALCOHOL 70
D08AX;ALCOHOL 96
M02AX;ALCOHOL ALCANFORADO
D08AJ;ALCOHOL BENZALCONIO
D08AX;ALCOHOL IODADO
D08AJ;ALCOHOL POTENCIADO
D08AX;ALCOHOL REFORZADO
M02AX;ALCOHOL ROMERO
D08AX;ALCOHTEN
D08AX;ALCOMON REFORZADO
D08AJ;ALCOPAC REFORZADO
D07AB;ALCORTEN
C10AA;ALCOSIN
D08AX;ALCOVIR REFORZADO
C03EA;ALDACTACINE
C03DA;ALDACTONE
D06BB;ALDARA
R06AX;ALDIRA
R03AK;ALDO ASMA
S02CA;ALDO OTICO
D10AE;ALDOACNE
R03CC;ALDOBRONQUIAL
B01AA;ALDOCUMAR
D07CC;ALDODERMA
D01AC;ALDOFUNGIN
C03EA;ALDOLEO
C02AB;ALDOMET
C02AB;ALDOMET FORTE
N05CD;ALDOSOMNIL
M02AA;ALDOSPRAY ANALGESICO
A16AB;ALDURAZYME
M05BA;ALENDROCARE SEMANAL
M05BA;ALENDROFARM
M05BA;ALENDROGYN
G03GB;ALENE
R06AE;ALERCINA
R01BA;ALERCINA PLUS
S01GA;ALERFRIN
H02BX;ALERGICAL
D07AC;ALERGICAL CREMA
R05X;ALERGICAL EXPECT JARABE
R06AX;ALERGIST
J06BA;ALERGLOBULINA
R03BC;ALERGOCROM
S01GA;ALERGOFTAL
J06BA;ALERGOGAMMA
R06AX;ALERGOLIBER
R06AX;ALERGORATIO
R06AE;ALERLISIN
R06AX;ALERMIZOL
R06AE;ALERRID
R05DB;ALETOR COMPOSITUM
C01CA;ALEUDRINA
M01AE;ALEVE
S01EA;ALFADINA
G04CA;ALFAPROST
G04CA;ALFETIM
D05AA;ALFITAR
G04CA;ALFUZOSINA
M02AC;ALGESAL
M02AC;ALGESAL ACTIVADO
N02BB;ALGI MABO
M01AE;ALGIASDIN
N02BE;ALGIDOL
M01AE;ALGIDRIN
M01AB;ALGIKEY
M02AA;ALGIPATCH
M02AC;ALGODERM
A02BA;ALI VEG
J01FA;ALIBRON
A02AF;ALIGEST
A02AF;ALIGEST PLUS
L01BA;ALIMTA
C10AA;ALIPZA
M01AC;ALIVIODOL
M01AE;ALIVIOMAS
M01AB;ALIVIOSIN
A02AH;ALKA SELTZER
A08AB;ALLI
M09AX;ALLYNAT
A02AD;ALMAX
J01MA;ALMITIL
N02CC;ALMOGRAN
D11AX;ALOCARE
A06AB;ALOFEDINA
