CODI_ATC,NOMBRE
G02BA03,MIRENA
G02BB,CREMA CONTRACEPTIVA LANZAS
G02BB,NACHA ESPUMA
G02BB,NACHAàvulo
G02BB01,CIRCLET
G02BB01,NUVARING
G02CX,DISMEGYN
G02CX,EQUILGYN
G02CX,EXTRACTO DE VITEX AGNUS-CASTUS CENINTER
G02CX,FITOGYN FORTE
G02CX,FITOGYN
G02CX,GINEVIX
G02CX,LIFEMIN
G02CX,MESTRODOL
G02CX,NORMOVAGIL
G02CX,PREMEDOL
G02CX,REMIFEMIN
G02CX,SOYRED
G02CX,VITELAF
G02CX01,ATOSIBAN NORMON
G02CX01,ATOSIBAN PANLUETOL
G02CX01,TRACTOCILE
G02CX04,AQUICIMIX
G02CX04,CIMIDONA
G02CX04,EXTRACTO DE CIMIFUGA ALACAN
G02CX04,FLUXILAN
G02CX04,GINECIM
G02CX04,KLIMADYNON
G02CX04,MENOPASOL
G02CX04,YMEA
G03A,DEBUNICA 
G03A,DROSETIL DIARIO 
G03A,ETINILESTRADIOL/CLORMADINONA  
G03A,GRYSTELLA 
G03A,JADELLEImplante 
G03AA,AILYN 
G03AA,DANIELLE 
G03AA,DONABEL 
G03AA,AILYN DIARIO
G03AA,SIBILLA
G03AA07,LEVONORGESTREL/ETINILESTRADIOL
G03AA07,LEVONORGESTREL/ETINILESTRADIOL DIARIO  
G03AA07,LINELLE 
G03AA07,LOETTE DIARIO 
G03AA07,LOETTE 
G03AA07,MICROGYNON 
G03AA07,NEOGYNONA 
G03AA07,OVOPLEX 
G03AA07,RIGEVIDON 
G03AA07,ESTRALEVO
G03AA07,KERIETTE
G03AA07,KERIETTE DIARIO
G03AA07,LEVOBEL
G03AA07,LEVOBEL DIARIO
G03AA09,BEMASIVE
G03AA09,DESOGESTREL /ETINILESTRADIOL 
G03AA09,MICRODIOL 
G03AA09,REGULON 
G03AA09,SUAVURET 
G03AA09,BENIDETTE
G03AA09,BENIFEMA
G03AA10,ETINILESTRADIOL / GESTODENO  
G03AA10,GESTINYL 
G03AA10,GYNOVIN 
G03AA10,HARMONET 
G03AA10,JULIPERLA 
G03AA10,MELIANE DIARIO 
G03AA10,MELIANE 
G03AA10,MELODENE 
G03AA10,MELTEVA 
G03AA10,MINESSE 
G03AA10,MINULET
G03AA10,SOFIPERLA 
G03AA10,TEVALET 
G03AA10,VARIANTA 
G03AA11,EDELSIN
G03AA12,ANTIN DIARIO 
G03AA12,ANTIN 
G03AA12,ANTINELLE DIARIO
G03AA12,ANTINELLE 
G03AA12,ARANKA
G03AA12,ARANKELLE DIARIO 
G03AA12,ARANKELLE 
G03AA12,DAYLETTE 
G03AA12,DRELLE 
G03AA12,DRETINE 
G03AA12,DRETINELLE
G03AA12,DROSIANE DIARIO 
G03AA12,DROSIANE 
G03AA12,DROSIANELLE DIARIO
G03AA12,DROSIANELLE 
G03AA12,DROSPIL 
G03AA12,DROSURE DIARIO 
G03AA12,DROSURE 
G03AA12,DROSURELLE DIARIO 
G03AA12,DROSURELLE 
G03AA12,ELOINE 
G03AA12,ETINILESTRADIOL/DROSPIRENONA  
G03AA12,ETINILESTRADIOL/DROSPIRENONA DIARIO 
G03AA12,LIOFORA DIARIO 
G03AA12,LIOFORA
G03AA12,PALANDRA 
G03AA12,YASMIN DIARIO 
G03AA12,YASMIN 
G03AA12,YASMINELLE DIARIO
G03AA12,YASMINELLE 
G03AA12,YAZ
G03AA12,YIRA 
G03AA12,CLEODETTE
G03AA12,CLEODETTE DIARIO
G03AA12,CLEOSENSA
G03AA12,CLEOSENSA DIARIO
G03AA12,DRAZ
G03AA12,IRADIER
G03AA13,EVRAParche transd‚rmico 
G03AA14,ZOELY
G03AA15,ANGILETTA 
G03AA15,BALIANCA DIARIO
G03AA15,BALIANCA
G03AA15,BELARA DIARIO
G03AA15,BELARA 
G03AA15,ELYNOR
G03AA15,ETINILESTRADIOL / CLORMADINONA 
G03AA15,TYARENA 
G03AA15,TEYDA
G03AB03,TRIAGYNON 
G03AB03,TRICICLOR 
G03AB05,GRACIAL
G03AB05,NOVIAL PERIODICO 
G03AB05,NOVIAL 
G03AB06,TRIGYNOVIN 
G03AB06,TRI-MINULET 
G03AB08,QLAIRA 
G03AC08,IMPLANON NXTImplante 
G03AC09,AZALIA 
G03AC09,CERAZET
G03AC09,DESOGESTREL
G03AC09,DESOPOP
G03AC09,FAMYLETTE
G03AC09,FEANOLLA
