"ID","CAST","CAT"
0,"Ocupaciones militares","Ocupacions militars"
"001","Oficiales y suboficiales de las fuerzas armadas","Oficials i sotsoficials de les forces armades"
"0011","Oficiales de las fuerzas armadas","Oficials de les forces armades"
"0012","Suboficiales de las fuerzas armadas","Sotsoficials de les forces armades"
"0020","Tropa y marineria de las fuerzas armadas","Tropa i marineria de les forces armades"
1,"Directores y gerentes","Directors i gerents"
11,"Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administracion Publica y organizaciones de interes social; directores ejecutivos","Membres del poder executiu i dels cossos legislatius; personal directiu de l'Administracio publica i d'organitzacions d'interes social; directors executius"
111,"Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administracion Publica y organizaciones de interes social","Membres del poder executiu i dels cossos legislatius; personal directiu de l'Administracio publica i d'organitzacions d'interes social"
1111,"Miembros del poder ejecutivo (nacional, autonomico y local) y del poder legislativo","Membres del poder executiu (nacional, autonomic i local) i dels cossos legislatius"
1112,"Personal directivo de la Administracion Publica","Personal directiu de l'Administracio publica"
1113,"Directores de organizaciones de interes social","Directors d'organitzacions d'interes social"
1120,"Directores generales y presidentes ejecutivos","Directors generals i presidents executius"
12,"Directores de departamentos administrativos y comerciales","Directors de departaments administratius i comercials"
121,"Directores de departamentos administrativos","Directors de departaments administratius"
1211,"Directores financieros","Directors financers"
1212,"Directores de recursos humanos","Directors de recursos humans"
1219,"Directores de politicas y planificacion y de otros departamentos administrativos no clasificados bajo otros epigrafes","Directors de politiques i planificacio i d'altres departaments administratius ncaa"
122,"Directores comerciales, de publicidad, relaciones publicas y de investigacion y desarrollo","Directors comercials, de publicitat, de relacions publiques i de recerca i desenvolupament"
1221,"Directores comerciales y de ventas","Directors comercials i de vendes"
1222,"Directores de publicidad y relaciones publicas","Directors de publicitat i relacions publiques"
1223,"Directores de investigacion y desarrollo","Directors de recerca i desenvolupament"
13,"Directores de produccion y operaciones","Directors de produccio i operacions"
131,"Directores de produccion de explotaciones agropecuarias, forestales y pesqueras, y de industrias manufactureras, de mineria, construccion y distribucion","Directors de produccio d'explotacions agropecuaries, forestals i pesqueres, i d'industries manufactureres, de mineria, construccio i distribucio"
1311,"Directores de produccion de explotaciones agropecuarias y forestales","Directors de produccio d'explotacions agropecuaries i forestals"
1312,"Directores de produccion de explotaciones pesqueras y acuicolas","Directors de produccio d'explotacions pesqueres i aqüicoles"
1313,"Directores de industrias manufactureras","Directors d'industries manufactureres"
1314,"Directores de explotaciones mineras","Directors d'explotacions mineres"
1315,"Directores de empresas de abastecimiento, transporte, distribucion y afines","Directors d'empreses d'abastament, transport, distribucio i similars"
1316,"Directores de empresas de construccion","Directors d'empreses de construccio"
132,"Directores de servicios de tecnologias de la informacion y las comunicaciones (TIC) y de empresas de servicios profesionales","Directors de serveis de tecnologies de la informacio i la comunicacio (TIC) i d'empreses de serveis professionals"
1321,"Directores de servicios de tecnologias de la informacion y las comunicaciones (TIC)","Directors de serveis de tecnologies de la informacio i la comunicacio (TIC)"
1322,"Directores de servicios sociales para niños","Directors de serveis socials per a infants"
1323,"Directores-gerentes de centros sanitarios","Directors gerents de centres sanitaris"
1324,"Directores de servicios sociales para personas mayores","Directors de serveis socials per a persones grans"
1325,"Directores de otros servicios sociales","Directors de serveis socials ncaa"
1326,"Directores de servicios de educacion","Directors de serveis d'educacio"
1327,"Directores de sucursales de bancos, de servicios financieros y de seguros","Directors de sucursals de bancs, de serveis financers i d'assegurances"
1329,"Directores de otras empresas de servicios profesionales no clasificados bajo otros epigrafes","Directors d'altres empreses de serveis professionals ncaa"
14,"Directores y gerentes de empresas de alojamiento, restauracion y comercio","Directors i gerents d'empreses d'allotjament, restauracio i comerç"
141,"Directores y gerentes de empresas de alojamiento","Directors i gerents d'empreses d'allotjament"
1411,"Directores y gerentes de hoteles","Directors i gerents d'hotels"
1419,"Directores y gerentes de otras empresas de servicios de alojamiento","Directors i gerents d'altres empreses de serveis d'allotjament"
142,"Directores y gerentes de empresas de restauracion","Directors i gerents d'empreses de restauracio"
1421,"Directores y gerentes de restaurantes","Directors i gerents de restaurants"
